Serial Number,Make,Model,Type,Year,Drivetrain,Power(hp),Cylinders,Displacement(Litres),Seating,Torque(lbs-ft),Mileage-city(miles/gallon),Fuel Tank Capacity(gal),Wheelbase(inches),Ground Clearance(inch),Curb weight(lbs),Length(inch),Height(inch),Width(inch),Turning Radius(ft),Gearbox
85,Dodge,Caravan,Minivan,1997,FWD,150,4,2.4,5,167,20,20,113.3,-1,3528,186.3,68.5,75.6,18.8,3-speed automatic
86,Dodge,Ram Pickup 3500,Crew Cab,2010,RWD,350,6,6.7,3,610,15,34,140.5,7.6,6847,230.4,73.6,96.4,22.5,6-speed manual w/OD
87,Dodge,Ram Pickup 3500,Quad Cab,2009,RWD,350,6,6.7,6,610,15,34,140.5,7.6,6847,227.7,78.1,79.9,22.3,6-speed manual w/OD
88,Dodge,Sprinter,Cargo Van,2009,RWD,154,6,3,2,280,14,25,144.3,-1,5460,232.5,107.5,79.7,23.8,5-speed automatic w/OD and auto-manual
89,Dodge,Journey,SUV,2012,FWD,173,4,2.4,5,166,19,20.5,113.8,7.2,3796,192.4,66.6,72.2,19.2,4-speed automatic w/OD and auto-manual
90,Dodge,Dakota,Crew Cab,2010,RWD,210,6,3.7,5,235,15,22,131.3,7.9,4336,218.5,68.1,76,21.6,4-speed automatic w/OD
91,Dodge,Dakota,Club Cab,2007,RWD,210,6,3.7,2,235,16,22,131.3,7.9,4296,218.8,68.7,71.7,22,6-speed manual w/OD
92,Dodge,Magnum,Wagon,2008,RWD,190,6,2.7,5,190,21,18,120,5.6,3804,197.7,58.3,74.1,19.4,4-speed automatic w/OD
93,Dodge,Challenger SRT8,Coupe,2011,RWD,305,6,3.6,5,268,18,19.5,116,5.2,3834,197.7,57.3,75.7,19,5-speed automatic w/OD and auto-manual
94,Dodge,Durango,SUV,2012,RWD,290,6,3.6,7,260,16,24.6,119.8,8.2,4756,199.8,70.9,75.8,18.5,5-speed automatic w/OD and auto-manual
95,Dodge,Durango,SUV,2007,RWD,210,6,3.7,5,235,16,27,119.2,8.7,4713,200.8,74.3,76,19.8,5-speed automatic w/OD and auto-manual
96,Dodge,Charger  ,Sedan,2012,RWD,292,6,3.6,5,260,18,19.1,120.2,5,3961,199.9,58.4,75,18.8,5-speed automatic w/OD and auto-manual
97,Dodge,Charger SRT8,Sedan,2009,RWD,425,8,6.1,5,420,13,19,120,5.1,4160,200.1,58.2,74.5,19.4,5-speed automatic w/OD and auto-manual
98,Eagle,Talon,Hatchback,1998,FWD,140,4,2,4,130,22,17,98.8,-1,2729,174.8,51,73.4,19,5-speed manual w/OD
99,Fiat,500 Abarth,Hatchback,2012,FWD,160,4,1.4,4,170,31,10.5,90.6,4.1,2533,144.4,59.2,64.1,18.8,5-speed Automatic
100,Fiat,500 Convertible,Convertible,2012,FWD,101,4,1.4,4,98,34,10.5,90.6,4.6,2416,139.6,59.8,64.1,15.3,6-speed Automatic
101,Ferrari,FF,Coupe,2012,AWD,651,12,6.3,2,503,11,24,117.7,4.7,4145,193.2,54.3,76.9,-1,7-speed auto-shift manual
102,Ferrari,California,Convertible,2012,RWD,453,8,4.3,2,357,13,20.6,105.1,5.7,3825,179.6,51.5,74.9,18.4,7-speed auto-shift manual
103,Ferrari,458 Italia Convertible,Convertible,2012,RWD,570,8,4.5,2,398,12,22.7,104.3,4.4,3274,178.2,47.8,76.3,-1,7-speed auto-shift manual
104,Ferrari, 458 Italia Coupe,Coupe,2012,RWD,570,8,4.5,2,398,12,22.7,104.3,4.4,3385,178.2,47.8,76.3,-1,7-speed auto-shift manual
105,Fisker,Karma,Sedan(Electric),2012,RWD,403,4,2,4,959,55,9,124.4,5.6,5300,196.8,52.4,71.8,20.6,1-speed automatic (Electric)
106,Ford, F-450 Super Duty,Crew Cab,2012,AWD,385,8,6.2,6,405,12,37.5,200.2,8,7329,285.9,80.6,93.9,-1,5-speed Automatic
107,Ford,Mustang Convertible,Convertible,2007,RWD,210,6,4,4,240,19,16,107.1,5.7,3461,188,55.7,73.9,16.7,5-speed Manual
108,Ford,Freestar,Minivan,2007,FWD,210,6,4.2,7,263,17,26,120.8,7.5,4275,201,70.6,76.4,19.8,4-speed Automatic
109,Ford,Expedition EL,SUV,2009,RWD,300,8,5.4,5,365,14,28,131,8.7,6088,221.3,78.8,78.3,20.8,6-speed Automatic
110,Ford,Edge,SUV,2012,FWD,285,6,3.5,5,253,19,18,111.2,7.9,4056,184.2,67,76,19.3,6-speed Automatic
