Serial Number,Make,Model,Type,Year,Drivetrain,Power(hp),Cylinders,Displacement(Litres),Seating,Torque(lbs-ft),Mileage-city(miles/gallon),Fuel Tank Capacity(gal),Wheelbase(inches),Ground Clearance(inch),Curb weight(lbs),Length(inch),Height(inch),Width(inch),Turning Radius(ft),Gearbox
151,Lamborghini,Aventador,2dr Sports Coupe,2012,AWD,690,12,6.5,2,465,21,24,106,-1,-1,188,44.7,89,-1,6 Speed Automatic
152,Lamborghini,Gallardo LP 570-4,Coupe,2012,AWD,560,10,5.2,2,398,12,23.8,100.8,-1,3042,171.1,45.9,74.8,18.9,6-speed Automatic
153,Lamborghini,Diablo,2dr Sports Coupe,2001,AWD,550,12,4.6,2,326,16,26.4,104.3,5.5,3583,176,43.5,80,-1,5-speed Manual
154,Land Rover,Range Rover,SUV,2012,FWD,375,8,5,5,375,-1,27,113,6.1,5697,195.8,73.9,77,-1,5 Speed Automatic
155,Land Rover,LR2,SUV,2012,FWD,240,8,2,5,250,17,18.5,104.7,8.3,3880,177.1,68.5,75.1,18.5,8 Speed Automatic
156,Lincoln,Town Car,Sedan,2011,FWD,239,8,3.2,4,287,16,19,123,6,4467,221.4,59.1,78.5,20.8,4 Speed Automatic
157,MINI,Cooper Roadster,Convertible,2012,FWD,121,6,1.6,2,114,10,13.2,-1,5.4,2635,146.8,54.5,66.3,-1,6-speed manual
158,Maybach,Landaulet,Convertible,2012,RWD,620,12,6,4,738,10,29.1,150.7,6.3,-1,242.7,61.9,78,24.3,5 Speed Automatic
159,Mazda,Tribute,SUV,2011,FWD,171,4,2.5,5,171,23,16.5,103.1,8.4,3272,174.9,67.9,71.1,18.3,4 Speed Manual
160,McLaren ,MP4-12C Coupe,Coupe,2012,RWD,592,8,3.8,2,443,18,15,105.1,-1,3161,177.5,47.2,75.2,-1,7 Speed Automatic
161,Mercedes-Benz,300-Class,Convertible,1993,RWD,121,5,2.1,4,165,23,26,110.2,-1,3390,187.2,56.3,68.5,-1,5 Speed Manual
162,Mercedes-Benz,C-Class,Sedan,2012,RWD,201,4,1.8,5,229,21,17.4,108.7,-1,3428,180.8,56.3,69.7,17.7,6 Speed Automatic
163,Mercedes-Benz,SL-Class,Coupe,2009,RWD,362,6,3,2,369,20,19.8,101.7,-1,3826,182.3,51.2,73.9,18.1,4 Speed Manual 
164,Mercedes-Benz,E-Class,Sedan,2012,RWD,302,4,3.5,4,273,19,17.4,108.7,-1,3619,185,54.8,70.3,17.7,6 Speed Automatic 
165,Mercedes-Benz,S-Class,Sedan,2012,RWD,275,6,3.5,5,258,19,23.8,124.6,5.8,4474,206.5,58,73.7,20,9 Speed Automatic
166,Mercedes-Benz,Sprinter,Van,2012,RWD,188,6,3,20,325,21,26.4,170.3,-1,5545,273.2,107.5,79.7,27.3,7 Speed Automatic
167,Mitsubishi Lancer,Sedan,Sedan,2012,FWD,148,4,2,5,146,25,15.5,103.7,5.5,2866,180,58.3,69.2,16.4,5 Speed Automatic
168,Nissan,Leaf (Electric),Hatchback,2012,FWD,107,-1,-1,5,207,106,-1,-1,6.3,3385,175,61,69.7,17.1,1 Speed automatic
169,Nissan,NV,Van,2012,RWD,261,6,4,20,281,22,28,146.1,8.1,5791,240.6,83.9,79.9,22.6,5 Speed Automatic
170,Nissan,Juke,Hatchback,2012,FWD,188,4,1.6,5,177,27,13.2,99.6,7,2959,162.4,61.8,69.5,18.2,6 Speed Automatic
171,Nissan,240SX,Coupe,1998,FWD,155,4,2.4,2,160,22,17.2,99.4,-1,2800,151,51,68.1,16.7,5-speed manual
172,Plymouth,Neon,Coupe,1999,FWD,132,4,2,4,129,20,12.5,104,6,2470,171.8,54.9,67.4,-1,5 Speed Manual
173,Porsche,Panamera,Sedan,2012,RWD,300,6,3.6,4,295,18,21.1,115,5.6,3880,195.7,55.8,76,19.6,7 Speed Automatic
174,Ram,C/V Cargo Van,Minivan,2012,FWD,283,6,3.6,2,260,17,20,121.2,6.4,4150,202.5,69,78.7,19.5,6 Speed Automatic
175,Rolls-Royce,Phantom Drophead Coupe,Convertible,2012,RWD,453,12,6.8,4,531,11,26.4,130.7,-1,5798,220.8,62.7,78.2,21.5,6 Speed Automatic
176,Rolls-Royce,Ghost,Sedan,2012,RWD,563,12,6.6,5,575,13,21.8,129.7,-1,5490,212.6,61,76.7,22,8 Speed automatic
177,Rolls-Royce,Phantom,Sedan,2012,RWD,440,12,6.6,4,521,12,23.5,129.4,-1,5630,216.2,61,75.1,21.6,6 Speed Automatic
178,Scion,xD,Convertible,2012,FWD,128,4,1.8,5,125,27,11.1,96.9,6.5,2625,154.7,59.4,67.9,18.5,5 Speed Manual
179,Spyker,C8,Convertible,2009,RWD,350,8,3.6,2,340,14,14.8,106,5.6,3025,165.4,51.6,73.6,20.6,6 Speed Manual
